ID,Discovered Item,Framework Theme,Reference,Grey lit,Topic: Site remediation,Topic: Water mgt,Topic: Waste / sanitation,Topic: Workplace,Topic: Emissions,Topic: Chem Alt,Topic: Pub Health,Topic: Emerg / Disaster,Topic: Unspecified,Dev org: Gov't,Dev org: NGO,Dev org: Industry,Dev org: Academic,Disagree,Difficult,Guidance1,Guidance2,Context,Judgement,Unique,No code,Problem,Desirable effects,Undesirable effects,Certainty of evidence,Values,Balance of effects,Resources required,Cost effectiveness,Equity,Acceptability,Feasibility
52,How substantial are the undesirable anticipated effects?,Undesirable effects,Anonymous2 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,What is the overall certainty of the evidence of effects?,Evidence certainty,Anonymous2 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,Does the balance between desirable and undesirable effects favour the policy or the comparison?,Balance of effects,Anonymous2 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,Has this policy been tested or found to be effective only in specific contexts?,Generalizability,Anonymous2 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,What would be the impact on health equity?,Equity,Anonymous2 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,"Is the policy acceptable to government authorities, patients and community?",Acceptability,Anonymous2 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,How large are the resource requirements for implementing the policy?,Resources required,Anonymous2 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59,How feasible is the policy to implement in low- and middle- income countries?,Feasibility ,Anonymous2 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,How would the policy affect the long-term financial sustainability of healthcare system?,Sustainability,Anonymous2 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
61,Is the problem of public health importance?,Problem,Anonymous Unknown,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,How substantial are the undesirable anticipated effects?,Benefits & Harms,Anonymous Unknown,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63,How substantial are the desirable anticipated effects?,Benefits & Harms,Anonymous Unknown,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,Do the desirable effects outweigh the undesirable effects?,Benefits & Harms,Anonymous Unknown,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,What is the overall certainty of this evidence for the critical outcomes?,Benefits & Harms,Anonymous Unknown,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,Does the target population feel that the desirable effects are large relative to undesirable effects?,Values,Anonymous Unknown,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
67,Is there important uncertainty about or variability in how much people value the main outcomes?,Values,Anonymous Unknown,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,Is the intervention acceptable to key stakeholders?,Acceptability,Anonymous Unknown,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,Is the intervention a reasonable and efficient allocation of resources?,Resource use,Anonymous Unknown,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
70,What would be the impact on health equity?,Equity,Anonymous Unknown,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,Is the intervention feasible to implement?,Feasibility of Adoption into Health Systems,Anonymous Unknown,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,"Current leases, for platforms in both OCS and state waters, require complete removal",Legal/regulatory,Bernstein 2015,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,Federal laws and regulations now enable alternative uses after decommissioning,Legal/regulatory,Bernstein 2015,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
74,Agency roles in decommissioning well-defined,Legal/regulatory,Bernstein 2015,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,"Mechanism for transfer of platforms in the OCS to state ownership (e.g., in a rigs-to-reefs program) is clearly defined in federal law but would require new state legislation to be implemented",Legal/regulatory,Bernstein 2015,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,"Competing concerns about the potential impacts of removing platforms versus leaving them in place (e.g., Potential for residual pollution from platform structure, Risk of eventual contaminant leaching from shell mounds left in place, Disturbance and dispersal of contaminants from dredging to remove shell mounds, Loss of biological communities and production with complete removal, Much larger amounts of air emissions with complete removal, both on-site and at processing and disposal sites onshore)",Environmental/ ecological,Bernstein 2015,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
77,"Alternative uses, with the exception of artificial reefing, would require eventual removal of the platform",Environmental/ ecological,Bernstein 2015,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,"Uncertainty about the ecological effects of artificial reefing, especially regarding the contribution of biological production on the reef to communities at the regional scale",Environmental/ ecological,Bernstein 2015,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,"Little concern about overall technical feasibility of complete removal, although deeper platforms may require adaptation of current methods",Feasibility/cost,Bernstein 2015,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,"Technical feasibility/value of some alternative uses (e.g., wind and wave energy, aquaculture) not fully established",Feasibility/cost,Bernstein 2015,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
81,Feasibility of partial removal and reefing fully established,Feasibility/cost,Bernstein 2015,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,Only x platform in state waters is in water deep enough to meet requirements of the partial removal option,Feasibility/cost,Bernstein 2015,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,Liability is clearly defined and managed for complete removal,Liability,Bernstein 2015,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,Partial removal and transfer to state ownership as artificial reef raises concerns about liability that must be addressed with new legislation and/or management policies,Liability,Bernstein 2015,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,Liability for other alternative uses a lesser concern,Liability,Bernstein 2015,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,"Large cost of complete removal, particularly for larger platforms, a concern for operators",Cost,Bernstein 2015,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
87,Alternative uses would result in cost savings,Cost,Bernstein 2015,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
88,"Partial removal and reefing, with a state (CA) to be allocated a share of avoided costs (i.e., savings)",Cost,Bernstein 2015,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
89,Personnel (who can do the work) and training: Number and type of remediation workers,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
90,"Personnel (who can do the work) and training: Needs for recruiting, contracting, training","Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
91,Personnel (who can do the work) and training: Number and type of health and safety personnel available and required,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
92,Personnel (who can do the work) and training: Workers with institutional memory of hazards and risks,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
93,Personnel (who can do the work) and training: Availability of on-site emergency personnel,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
94,Personnel (who can do the work) and training: Availability of information technology/data management and reporting staff,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
95,Personnel (who can do the work) and training: Sufficient higher educational institutions or trainers to train construction and public health personnel,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,Personnel (who can do the work) and training: Sufficient staff and contractor training programs and training documentation,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,Health and safety data: Presence of personnel health and safety monitoring program,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1
98,Health and safety data: Availability of long-term data on employees and accident types,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,Health and safety data: Availability of contractor workers’ compensation experience records,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,Health and safety data: Availability of exposure assessment and risk assessment information,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,"Health and safety data: New health and safety computer models, and their availability","Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
102,Funding: Amount and fungibility of budgets,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
103,Funding: What can be accomplished under current budget,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104,Funding: Types of projects requiring new money,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
105,Funding: Availability of monies for new equipment,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106,Funding: Effects of delays on cost of a project,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
107,Funding: Continuation of stable funding for health and safety (and associated risk reduction),"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,Funding: Status of continued legislature support for funding remediation,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,Equipment: New equipment needed for new remediation,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
110,"Equipment: Age of equipment, is equipment operative. Is there annual maintenance program.","Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
111,Equipment: On-site emergency equipment for potential accidents or fires,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
112,Structural integrity and infrastructure: Building size and conditions,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,"Structural integrity and infrastructure: Roof integrity, condition, water intrusion","Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,"Structural integrity and infrastructure: Potential for collapse, emergency egress","Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,Structural integrity and infrastructure: Reliance on active controls (electricity),"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,Structural integrity and infrastructure: Roads and fire protection,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,"Structural integrity and infrastructure: Secure emergency evacuation routes, and plans updated and disseminated","Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
118,Remedial action in adjacent unit: Effect of proposed remediation of adjacent unit influence decision,"Management, planning and implementation",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
